epoch,_time,customer,amount,previous_tx_date,category,action
1532443245,2018/07/24 10:40:45 EDT,Frances,3373,07/21/2018 00:00:00,Gas,authorized
1532468396,2018/07/24 17:39:56 EDT,Marvin,1382,07/22/2018 00:00:00,ECommerce,authorized
1532436775,2018/07/24 08:52:55 EDT,Basil,14,07/22/2018 00:00:00,ECommerce,authorized
1532436778,2018/07/24 08:52:58 EDT,Basil,5001,07/22/2018 00:00:00,ECommerce,authorized
1532474716,2018/07/24 19:25:16 EDT,Victoria,3519,07/17/2018 00:00:00,Consulting,authorized
1532442639,2018/07/24 10:30:39 EDT,Abigail,557,07/23/2018 00:00:00,Food,authorized
1532481808,2018/07/24 21:23:28 EDT,Quynn,783,07/22/2018 00:00:00,Dept_Store,authorized
1532460086,2018/07/24 15:21:26 EDT,Upton,3360,07/20/2018 00:00:00,Specialty_Store,authorized
1532453713,2018/07/24 13:35:13 EDT,Amela,3439,07/21/2018 00:00:00,Gas,authorized
1532440378,2018/07/24 09:52:58 EDT,Jelani,10,07/17/2018 00:00:00,Ecommerce,authorized
1532440379,2018/07/24 09:52:59 EDT,Jelani,4059,07/17/2018 00:00:00,Ecommerce,authorized
1532448417,2018/07/24 12:06:57 EDT,Oprah,3312,07/22/2018 00:00:00,Restaurant,authorized
1532435945,2018/07/24 08:39:05 EDT,Reese,4026,07/18/2018 00:00:00,Travel_Services,authorized
1532435955,2018/07/24 08:39:15 EDT,Reese,1026,07/18/2018 00:00:00,Travel_Services,authorized
1532435965,2018/07/24 08:39:25 EDT,Reese,1020,07/18/2018 00:00:00,Travel_Services,authorized
1532435975,2018/07/24 08:39:35 EDT,Reese,426,07/18/2018 00:00:00,Travel_Services,authorized
1532435985,2018/07/24 08:39:45 EDT,Reese,1060,07/18/2018 00:00:00,Travel_Services,authorized
1532487819,2018/07/24 23:03:39 EDT,Lynn,927,07/19/2018 00:00:00,Restaurant,authorized
1532431093,2018/07/24 07:18:13 EDT,Shelby,1767,07/17/2018 00:00:00,Consulting,authorized
1532482354,2018/07/24 21:32:34 EDT,Buckminster,2571,07/22/2018 00:00:00,Food,authorized
1532471499,2018/07/24 18:31:39 EDT,Illiana,2472,07/22/2018 00:00:00,Specialty_Store,authorized
1532406301,2018/07/24 00:25:01 EDT,Chandler,4179,07/20/2018 00:00:00,Specialty_Store,authorized
1532429378,2018/07/24 06:49:38 EDT,Simon,3707,01/22/2018 00:00:00,Gas,authorized
1532488408,2018/07/24 23:13:28 EDT,Aurelia,1378,07/18/2018 00:00:00,Consulting,authorized
1532470667,2018/07/24 18:17:47 EDT,Fulton,3569,07/21/2018 00:00:00,Gas,authorized
1532418141,2018/07/24 03:42:21 EDT,Kay,2452,01/24/2018 00:00:00,Restaurant,authorized
1532416047,2018/07/24 03:07:27 EDT,Hasad,3315,07/21/2018 00:00:00,Consulting,authorized
1532447606,2018/07/24 11:53:26 EDT,Jorden,2114,07/23/2018 00:00:00,Consulting,authorized
1532418405,2018/07/24 03:46:45 EDT,Tobias,675,07/23/2018 00:00:00,Dept_Store,authorized
1532486500,2018/07/24 22:41:40 EDT,Uriah,1152,07/18/2018 00:00:00,Dept_Store,authorized
1532421181,2018/07/24 04:33:01 EDT,Britanney,3663,07/21/2018 00:00:00,ECommerce,authorized
1532473881,2018/07/24 19:11:21 EDT,Jessamine,440,07/17/2018 00:00:00,Restaurant,authorized
1532412766,2018/07/24 02:12:46 EDT,Yoko,4118,07/24/2018 00:00:00,Restaurant,authorized
1532421814,2018/07/24 04:43:34 EDT,Cody,1119,07/19/2018 00:00:00,Food,authorized
1532421984,2018/07/24 04:46:24 EDT,Carly,2964,07/22/2018 00:00:00,Travel_Services,authorized
1532444415,2018/07/24 11:00:15 EDT,Byron,1061,07/21/2018 00:00:00,Consulting,authorized
1532465560,2018/07/24 16:52:40 EDT,Blaze,2534,07/23/2018 00:00:00,Restaurant,authorized
1532439890,2018/07/24 09:44:50 EDT,Penelope,3817,07/23/2018 00:00:00,ECommerce,authorized
1532438793,2018/07/24 09:26:33 EDT,Laith,4700,07/20/2018 00:00:00,Restaurant,authorized
1532435611,2018/07/24 08:33:31 EDT,Clarke,2409,07/22/2018 00:00:00,Travel_Services,authorized
1532424866,2018/07/24 05:34:26 EDT,Bertha,335,07/20/2018 00:00:00,Travel_Services,authorized
1532462035,2018/07/24 15:53:55 EDT,Hedley,4322,07/19/2018 00:00:00,Gas,authorized
1532416409,2018/07/24 03:13:29 EDT,Allen,40,07/22/2018 00:00:00,Specialty_Store,authorized
1532484806,2018/07/24 22:13:26 EDT,Tanner,99,07/21/2018 00:00:00,ECommerce,authorized
1532464826,2018/07/24 16:40:26 EDT,Jason,3231,07/17/2018 00:00:00,ECommerce,authorized
1532451760,2018/07/24 13:02:40 EDT,Chandler,2690,07/22/2018 00:00:00,Specialty_Store,authorized
1532418790,2018/07/24 03:53:10 EDT,Lydia,3787,07/21/2018 00:00:00,Dept_Store,authorized
1532421476,2018/07/24 04:37:56 EDT,Leroy,3589,07/17/2018 00:00:00,Specialty_Store,authorized
1532472229,2018/07/24 18:43:49 EDT,Stewart,1695,07/21/2018 00:00:00,Restaurant,authorized
1532411236,2018/07/24 01:47:16 EDT,Astra,3241,07/21/2018 00:00:00,Consulting,authorized
1532409065,2018/07/24 01:11:05 EDT,Baker,883,07/21/2018 00:00:00,Food,authorized
1532426718,2018/07/24 06:05:18 EDT,Drew,2318,07/21/2018 00:00:00,Gas,authorized
1532419932,2018/07/24 04:12:12 EDT,Minerva,31,07/22/2018 00:00:00,Travel_Services,authorized
1532429764,2018/07/24 06:56:04 EDT,Claudia,4740,07/24/2018 00:00:00,Consulting,authorized
1532415586,2018/07/24 02:59:46 EDT,Eagan,1091,07/21/2018 00:00:00,ECommerce,authorized
1532457674,2018/07/24 14:41:14 EDT,Dieter,2330,07/18/2018 00:00:00,Specialty_Store,authorized
1532414282,2018/07/24 02:38:02 EDT,Theodore,1693,07/17/2018 00:00:00,ECommerce,authorized
1532447541,2018/07/24 11:52:21 EDT,Tanner,1735,07/20/2018 00:00:00,Specialty_Store,authorized
1532485039,2018/07/24 22:17:19 EDT,Melvin,1698,07/20/2018 00:00:00,Dept_Store,authorized
1532443867,2018/07/24 10:51:07 EDT,Jessamine,2652,07/24/2018 00:00:00,ECommerce,authorized
1532469854,2018/07/24 18:04:14 EDT,Benedict,2877,07/19/2018 00:00:00,Restaurant,authorized
1532464951,2018/07/24 16:42:31 EDT,Clare,729,07/22/2018 00:00:00,Consulting,authorized
1532415082,2018/07/24 02:51:22 EDT,Simone,4422,01/18/2018 00:00:00,Consulting,authorized
1532479451,2018/07/24 20:44:11 EDT,Caesar,3837,07/18/2018 00:00:00,Dept_Store,authorized
1532483941,2018/07/24 21:59:01 EDT,Clinton,199,07/17/2018 00:00:00,ECommerce,authorized
1532455106,2018/07/24 13:58:26 EDT,Yeo,4065,07/18/2018 00:00:00,Dept_Store,authorized
1532412329,2018/07/24 02:05:29 EDT,Alice,71,07/22/2018 00:00:00,Food,authorized
1532409364,2018/07/24 01:16:04 EDT,Nina,738,07/24/2018 00:00:00,Food,authorized
1532446845,2018/07/24 11:40:45 EDT,Kevin,2801,07/19/2018 00:00:00,Dept_Store,authorized
1532460410,2018/07/24 15:26:50 EDT,Hilel,1970,07/24/2018 00:00:00,Specialty_Store,authorized
1532460495,2018/07/24 15:28:15 EDT,Shelly,4661,07/18/2018 00:00:00,Travel_Services,authorized
1532433869,2018/07/24 08:04:29 EDT,Victoria,374,07/24/2018 00:00:00,Restaurant,authorized
1532406246,2018/07/24 00:24:06 EDT,Skyler,585,07/22/2018 00:00:00,Restaurant,authorized
1532454487,2018/07/24 13:48:07 EDT,Leroy,413,07/23/2018 00:00:00,Consulting,authorized
1532451189,2018/07/24 12:53:09 EDT,Murphy,3786,07/18/2018 00:00:00,Dept_Store,authorized
1532460338,2018/07/24 15:25:38 EDT,Mollie,601,07/19/2018 00:00:00,Food,authorized
1532487923,2018/07/24 23:05:23 EDT,Ivana,1115,07/24/2018 00:00:00,Food,authorized
1532473340,2018/07/24 19:02:20 EDT,Jennifer,4302,07/18/2018 00:00:00,Food,authorized
1532425548,2018/07/24 05:45:48 EDT,Stacy,4883,07/21/2018 00:00:00,ECommerce,authorized
1532460256,2018/07/24 15:24:16 EDT,Mannix,28,07/17/2018 00:00:00,Restaurant,authorized
1532427746,2018/07/24 06:22:26 EDT,Regan,761,07/20/2018 00:00:00,Dept_Store,authorized
1532453695,2018/07/24 13:34:55 EDT,Leandra,2844,07/23/2018 00:00:00,Dept_Store,authorized
1532434307,2018/07/24 08:11:47 EDT,Clarke,2658,07/19/2018 00:00:00,Dept_Store,authorized
1532415971,2018/07/24 03:06:11 EDT,Kelly,4419,07/24/2018 00:00:00,Specialty_Store,authorized
1532482466,2018/07/24 21:34:26 EDT,Dawn,3118,07/22/2018 00:00:00,Dept_Store,authorized
1532458036,2018/07/24 14:47:16 EDT,Wayne,56,07/22/2018 00:00:00,Travel_Services,authorized
1532486120,2018/07/24 22:35:20 EDT,Lester,771,07/19/2018 00:00:00,Travel_Services,authorized
1532464992,2018/07/24 16:43:12 EDT,William,2970,07/19/2018 00:00:00,ECommerce,authorized
1532475312,2018/07/24 19:35:12 EDT,Camilla,1595,07/22/2018 00:00:00,Travel_Services,authorized
1532453615,2018/07/24 13:33:35 EDT,Jolene,1176,07/19/2018 00:00:00,Gas,authorized
1532414408,2018/07/24 02:40:08 EDT,Colette,1924,07/17/2018 00:00:00,Dept_Store,authorized
1532468986,2018/07/24 17:49:46 EDT,Ferdinand,1068,07/19/2018 00:00:00,Dept_Store,authorized
1532441119,2018/07/24 10:05:19 EDT,Oscar,1120,07/17/2018 00:00:00,Restaurant,authorized
1532439255,2018/07/24 09:34:15 EDT,Colorado,402,07/24/2018 00:00:00,Food,authorized
1532466576,2018/07/24 17:09:36 EDT,Aidan,2148,07/20/2018 00:00:00,Travel_Services,authorized
1532479356,2018/07/24 20:42:36 EDT,Kameko,627,07/17/2018 00:00:00,Restaurant,authorized
1532413797,2018/07/24 02:29:57 EDT,Mary,2335,07/22/2018 00:00:00,Consulting,authorized
1532408389,2018/07/24 00:59:49 EDT,Malachi,2842,07/17/2018 00:00:00,Travel_Services,authorized
1532430249,2018/07/24 07:04:09 EDT,Risa,2886,07/20/2018 00:00:00,Restaurant,authorized
1532440496,2018/07/24 09:54:56 EDT,Amelia,636,07/22/2018 00:00:00,Gas,authorized
1532460577,2018/07/24 15:29:37 EDT,Kai,689,07/19/2018 00:00:00,Food,authorized
1532417791,2018/07/24 03:36:31 EDT,Felix,2345,07/22/2018 00:00:00,Dept_Store,authorized
1532449005,2018/07/24 12:16:45 EDT,Jacob,409,07/19/2018 00:00:00,Gas,authorized
1532419092,2018/07/24 03:58:12 EDT,John,1571,07/23/2018 00:00:00,Restaurant,authorized
1532440369,2018/07/24 09:52:49 EDT,Wing,1680,07/22/2018 00:00:00,Food,authorized
1532479901,2018/07/24 20:51:41 EDT,Emerald,90,07/19/2018 00:00:00,Restaurant,authorized
1532408661,2018/07/24 01:04:21 EDT,Judith,595,07/19/2018 00:00:00,Dept_Store,authorized
1532444226,2018/07/24 10:57:06 EDT,Kato,1070,07/23/2018 00:00:00,ECommerce,authorized
1532424213,2018/07/24 05:23:33 EDT,Leonard,1107,07/20/2018 00:00:00,ECommerce,authorized
1532461830,2018/07/24 15:50:30 EDT,Brianna,1649,07/19/2018 00:00:00,Gas,authorized
1532426544,2018/07/24 06:02:24 EDT,Dylan,447,07/20/2018 00:00:00,Consulting,authorized
1532420870,2018/07/24 04:27:50 EDT,Scarlet,2110,07/21/2018 00:00:00,ECommerce,authorized
1532457550,2018/07/24 14:39:10 EDT,Halla,1080,07/23/2018 00:00:00,Travel_Services,authorized
1532438596,2018/07/24 09:23:16 EDT,Kelly,1757,07/18/2018 00:00:00,Restaurant,authorized
1532406185,2018/07/24 00:23:05 EDT,Mufutau,2305,07/22/2018 00:00:00,Travel_Services,authorized
1532464262,2018/07/24 16:31:02 EDT,Zachary,926,07/17/2018 00:00:00,Gas,authorized
1532404806,2018/07/24 00:00:06 EDT,Rudyard,2877,07/18/2018 00:00:00,Consulting,authorized
1532427138,2018/07/24 06:12:18 EDT,Destiny,2848,07/18/2018 00:00:00,Consulting,authorized
1532459993,2018/07/24 15:19:53 EDT,Keegan,527,07/21/2018 00:00:00,Gas,authorized
1532417899,2018/07/24 03:38:19 EDT,Hadley,1460,07/22/2018 00:00:00,Gas,authorized
1532432859,2018/07/24 07:47:39 EDT,Libby,1759,07/17/2018 00:00:00,Gas,authorized
1532475386,2018/07/24 19:36:26 EDT,Jayme,1099,07/21/2018 00:00:00,Consulting,authorized
1532485044,2018/07/24 22:17:24 EDT,Zoe,2295,07/21/2018 00:00:00,Restaurant,authorized
1532485622,2018/07/24 22:27:02 EDT,Ivan,2486,07/24/2018 00:00:00,ECommerce,authorized
1532419652,2018/07/24 04:07:32 EDT,Chadwick,5537,07/18/2018 00:00:00,Consulting,authorized
1532485403,2018/07/24 22:23:23 EDT,Eagan,1013,07/17/2018 00:00:00,Gas,authorized
1532431913,2018/07/24 07:31:53 EDT,Stewart,567,07/21/2018 00:00:00,ECommerce,authorized
1532471990,2018/07/24 18:39:50 EDT,Ann,358,07/19/2018 00:00:00,Food,authorized
1532412567,2018/07/24 02:09:27 EDT,Rhoda,29,07/22/2018 00:00:00,ECommerce,authorized
1532458103,2018/07/24 14:48:23 EDT,Iona,1506,07/22/2018 00:00:00,Food,authorized
1532435653,2018/07/24 08:34:13 EDT,Sophia,311,07/18/2018 00:00:00,Dept_Store,authorized
1532440154,2018/07/24 09:49:14 EDT,Caesar,2379,07/17/2018 00:00:00,Gas,authorized
1532436240,2018/07/24 08:44:00 EDT,Kato,375,07/20/2018 00:00:00,Dept_Store,authorized
1532419761,2018/07/24 04:09:21 EDT,Adena,5595,07/20/2018 00:00:00,Food,authorized
1532443635,2018/07/24 10:47:15 EDT,Rebekah,963,07/24/2018 00:00:00,Restaurant,authorized
1532456919,2018/07/24 14:28:39 EDT,Lars,2001,07/21/2018 00:00:00,Travel_Services,authorized
1532409894,2018/07/24 01:24:54 EDT,Maisie,2888,07/18/2018 00:00:00,Food,authorized
1532479781,2018/07/24 20:49:41 EDT,Maia,1934,07/21/2018 00:00:00,Restaurant,authorized
1532414921,2018/07/24 02:48:41 EDT,Macon,2715,07/20/2018 00:00:00,Travel_Services,authorized
1532415698,2018/07/24 03:01:38 EDT,Hannah,1577,07/18/2018 00:00:00,Restaurant,authorized
1532423280,2018/07/24 05:08:00 EDT,Orson,262,07/23/2018 00:00:00,Consulting,authorized
1532411238,2018/07/24 01:47:18 EDT,Ursula,725,07/19/2018 00:00:00,Travel_Services,authorized
1532429997,2018/07/24 06:59:57 EDT,Pearl,1597,07/17/2018 00:00:00,Restaurant,authorized
1532421282,2018/07/24 04:34:42 EDT,Rhea,662,07/17/2018 00:00:00,Gas,authorized
1532455167,2018/07/24 13:59:27 EDT,Madonna,1640,07/23/2018 00:00:00,Gas,authorized
1532408178,2018/07/24 00:56:18 EDT,Jamal,841,07/23/2018 00:00:00,Travel_Services,authorized
1532451757,2018/07/24 13:02:37 EDT,Ariel,477,07/24/2018 00:00:00,Gas,authorized
1532441202,2018/07/24 10:06:42 EDT,Geoffrey,1276,07/19/2018 00:00:00,Travel_Services,authorized
1532435193,2018/07/24 08:26:33 EDT,Allegra,1072,07/24/2018 00:00:00,Travel_Services,authorized
1532463995,2018/07/24 16:26:35 EDT,Cora,66,07/18/2018 00:00:00,Food,authorized
1532476780,2018/07/24 19:59:40 EDT,Hop,518,07/20/2018 00:00:00,Dept_Store,authorized
1532486720,2018/07/24 22:45:20 EDT,Abigail,1206,07/19/2018 00:00:00,Food,authorized
1532480013,2018/07/24 20:53:33 EDT,Avye,1279,07/22/2018 00:00:00,Restaurant,authorized
1532417825,2018/07/24 03:37:05 EDT,Sarah,181,07/22/2018 00:00:00,Food,authorized
1532423685,2018/07/24 05:14:45 EDT,Nero,2615,07/22/2018 00:00:00,Consulting,authorized
1532414370,2018/07/24 02:39:30 EDT,Jerome,1610,07/17/2018 00:00:00,Food,authorized
1532472798,2018/07/24 18:53:18 EDT,Colby,2005,07/21/2018 00:00:00,Dept_Store,authorized
1532424062,2018/07/24 05:21:02 EDT,Abel,112,07/22/2018 00:00:00,Gas,authorized
1532446003,2018/07/24 11:26:43 EDT,Clarke,375,07/17/2018 00:00:00,Restaurant,authorized
1532450680,2018/07/24 12:44:40 EDT,Jescie,495,07/23/2018 00:00:00,Dept_Store,authorized
1532405292,2018/07/24 00:08:12 EDT,Wyatt,702,07/20/2018 00:00:00,Travel_Services,authorized
1532407341,2018/07/24 00:42:21 EDT,Brielle,1392,07/17/2018 00:00:00,Consulting,authorized
1532471563,2018/07/24 18:32:43 EDT,Dai,2723,07/23/2018 00:00:00,Travel_Services,authorized
1532432708,2018/07/24 07:45:08 EDT,Garrison,1722,07/20/2018 00:00:00,Food,authorized
1532409076,2018/07/24 01:11:16 EDT,Lamar,2256,07/21/2018 00:00:00,ECommerce,authorized
1532485885,2018/07/24 22:31:25 EDT,Carlos,1235,07/22/2018 00:00:00,Dept_Store,authorized
1532464311,2018/07/24 16:31:51 EDT,Colton,1948,07/17/2018 00:00:00,Gas,authorized
1532440023,2018/07/24 09:47:03 EDT,Ashely,255,07/20/2018 00:00:00,ECommerce,authorized
1532417610,2018/07/24 03:33:30 EDT,Robert,426,07/21/2018 00:00:00,Food,authorized
1532488718,2018/07/24 23:18:38 EDT,Martena,1224,07/21/2018 00:00:00,Dept_Store,authorized
1532433238,2018/07/24 07:53:58 EDT,Frances,1693,07/19/2018 00:00:00,Travel_Services,authorized
1532460578,2018/07/24 15:29:38 EDT,Leah,100,07/21/2018 00:00:00,ECommerce,authorized
1532423613,2018/07/24 05:13:33 EDT,Diana,1022,07/18/2018 00:00:00,Dept_Store,authorized
1532413331,2018/07/24 02:22:11 EDT,Lester,1565,07/19/2018 00:00:00,Fine_Arts,authorized
1532484208,2018/07/24 22:03:28 EDT,Amethyst,798,07/24/2018 00:00:00,Dept_Store,authorized
1532450088,2018/07/24 12:34:48 EDT,Slade,2323,07/24/2018 00:00:00,Consulting,authorized
1532484111,2018/07/24 22:01:51 EDT,Giselle,1890,07/21/2018 00:00:00,Restaurant,authorized
1532474512,2018/07/24 19:21:52 EDT,Rooney,1387,07/18/2018 00:00:00,Fine_Arts,authorized
1532440874,2018/07/24 10:01:14 EDT,Lyle,1958,07/22/2018 00:00:00,Gas,authorized
1532486893,2018/07/24 22:48:13 EDT,Noelle,2113,07/23/2018 00:00:00,Gas,authorized
1532485647,2018/07/24 22:27:27 EDT,Mariam,1893,07/18/2018 00:00:00,Dept_Store,authorized
1532467815,2018/07/24 17:30:15 EDT,Fredericka,1504,07/18/2018 00:00:00,Gas,authorized
1532447210,2018/07/24 11:46:50 EDT,Maggie,2974,07/21/2018 00:00:00,Collectables,authorized
1532411963,2018/07/24 01:59:23 EDT,Kelsey,1057,07/23/2018 00:00:00,ECommerce,authorized
1532442765,2018/07/24 10:32:45 EDT,Scarlett,1456,07/22/2018 00:00:00,Gas,authorized
