accountcode,src,dst,dcontext,clid,channel,dstchannel,lastapp,start,answer,end,duration,billable,disposition,partyAiD,partyBiD,sequence
2502041,14055550960,14055554991,default,1-405-555-0960,SIP/US-CA-14055550960-175830,SIP/14055554991,DIAL,2018-01-03 5:02:11,0,2018-01-03 5:02:15,00:00:04,0,CONGESTED,SIP/US-CA-14055550960,SIP-US-LOCAL,14
2502041,14055550960,14055554991,default,1-405-555-0960,SIP/US-CA-14055550960-133426,SIP/14055554991,DIAL,2018-01-03 5:04:01,2018-01-03 5:04:09,2018-01-03 5:14:44,00:10:43,00:10:35,ANSWERED,SIP/US-CA-14055550960,SIP-US-LOCAL,15
2502041,14055550960,13145553411,default,405-555-0960,SIP/US-CA-14055550960-160121,MGCP/13145553411,DIAL,2018-01-03 6:13:02,2018-01-03 6:13:09,2018-01-03 6:32:12,00:19:10,00:19:03,ANSWERED,SIP/US-CA-14055550960,MGCP-US-CENTRAL,15
2502041,14055550960,14055550023,default,1-405-555-0960,SIP/US-CA-14055550960-168702,MGCP/14055550023,DIAL,2018-01-03 7:11:01,2018-01-03 7:11:20,2018-01-03 7:32:01,00:21:00,00:20:41,ANSWERED,SIP/US-CA-14055550960,MGCP-US-WEST,15
2502041,14055550960,464765555391,default,1-405-555-0960,SIP/US-CA-14055550960-124341,MGCP/464765555391,DIAL,2018-01-03 7:39:22,2018-01-03 7:39:33,2018-01-03 8:07:42,00:28:20,00:28:09,ANSWERED,SIP/US-CA-14055550960,MGCP-US-EAST-001,15
2502041,14055550960,464765559991,default,1-405-555-0960,SIP/US-CA-14055550960-134272,MGCP/464765559991,DIAL,2018-01-03 9:44:01,2018-01-03 9:44:08,2018-01-03 12:02:08,02:18:07,02:18:00,ANSWERED,SIP/US-CA-14055550960,MGCP-US-EAST-001,15
2502041,14055550960,458305554321,default,1-405-555-0960,SIP/US-CA-14055550960-160346,MGCP/458305554321,DIAL,2018-01-03 16:51:01,2018-01-03 16:51:10,2018-01-03 17:08:01,00:17:00,00:16:51,ANSWERED,SIP/US-CA-14055550960,MGCP-US-EAST-001,15
2502041,14055550960,14082923445,default,1-405-555-0960,SIP/US-CA-14055550960-126662,MGCP/14082923445,DIAL,2018-01-03 23:04:01,2018-01-03 23:04:22,2018-01-03 23:12:55,00:08:54,00:08:33,ANSWERED,SIP/US-CA-14055550960,MGCP-US-EAST-001,15
2501826,14055554522,2348255550001,default,1-405-555-4522,SIP/US-CA-14055554522-157040,MGCP/2348255550001,DIAL,2018-01-03 0:48:01,2018-01-03 0:48:10,2018-01-03 1:04:22,00:16:21,00:16:12,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-001,
2501826,14055554522,2348255550002,default,1-405-555-4522,SIP/US-CA-14055554522-151413,MGCP/2348255550002,DIAL,2018-01-03 3:27:12,2018-01-03 3:27:16,2018-01-03 3:28:19,00:01:07,00:01:03,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550003,default,1-405-555-4522,SIP/US-CA-14055554522-162743,MGCP/2348255550003,DIAL,2018-01-03 3:28:30,2018-01-03 3:28:35,2018-01-03 3:29:36,00:01:06,00:01:01,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550004,default,1-405-555-4522,SIP/US-CA-14055554522-149267,MGCP/2348255550004,DIAL,2018-01-03 3:29:45,2018-01-03 3:29:50,2018-01-03 3:30:54,00:01:09,00:01:04,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550005,default,1-405-555-4522,SIP/US-CA-14055554522-107905,MGCP/2348255550005,DIAL,2018-01-03 3:31:06,2018-01-03 3:31:11,2018-01-03 3:32:16,00:01:10,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550006,default,1-405-555-4522,SIP/US-CA-14055554522-182464,MGCP/2348255550006,DIAL,2018-01-03 3:32:22,2018-01-03 3:32:29,2018-01-03 3:33:31,00:01:09,00:01:02,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348275550001,default,1-405-555-4522,SIP/US-CA-14055554522-121739,MGCP/2348275550001,DIAL,2018-01-03 3:33:50,2018-01-03 3:33:55,2018-01-03 3:35:01,00:01:11,00:01:06,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550002,default,1-405-555-4522,SIP/US-CA-14055554522-168834,MGCP/2348255550002,DIAL,2018-01-03 3:35:07,2018-01-03 3:35:12,2018-01-03 3:36:17,00:01:10,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550003,default,1-405-555-4522,SIP/US-CA-14055554522-188887,MGCP/2348255550003,DIAL,2018-01-03 3:36:17,2018-01-03 3:36:23,2018-01-03 3:37:28,00:01:11,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550004,default,1-405-555-4522,SIP/US-CA-14055554522-139772,MGCP/2348255550004,DIAL,2018-01-03 3:37:28,2018-01-03 3:37:33,2018-01-03 3:38:38,00:01:10,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255551234,default,1-405-555-4522,SIP/US-CA-14055554522-110851,MGCP/2348255551234,DIAL,2018-01-03 3:38:38,2018-01-03 3:38:43,2018-01-03 3:39:47,00:01:09,00:01:04,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255551234,default,1-405-555-4522,SIP/US-CA-14055554522-173452,MGCP/2348255551234,DIAL,2018-01-03 3:39:47,2018-01-03 3:39:52,2018-01-03 3:40:56,00:01:09,00:01:04,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255551234,default,1-405-555-4522,SIP/US-CA-14055554522-162839,MGCP/2348255551234,DIAL,2018-01-03 3:40:56,2018-01-03 3:41:01,2018-01-03 3:42:06,00:01:10,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255551234,default,1-405-555-4522,SIP/US-CA-14055554522-100250,MGCP/2348255551234,DIAL,2018-01-03 3:42:11,2018-01-03 3:42:15,2018-01-03 3:43:20,00:01:09,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2347555500007,default,1-405-555-4522,SIP/US-CA-14055554522-166430,MGCP/2347555500007,DIAL,2018-01-03 3:43:26,2018-01-03 3:43:31,2018-01-03 3:44:36,00:01:10,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2341555500009,default,1-405-555-4522,SIP/US-CA-14055554522-184238,MGCP/2341555500009,DIAL,2018-01-03 3:44:42,2018-01-03 3:44:47,2018-01-03 3:45:52,00:01:10,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2347555500002,default,1-405-555-4522,SIP/US-CA-14055554522-149102,MGCP/2347555500002,DIAL,2018-01-03 3:45:56,2018-01-03 3:46:01,2018-01-03 3:47:05,00:01:09,00:01:04,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2347555500002,default,1-405-555-4522,SIP/US-CA-14055554522-176841,MGCP/2347555500002,DIAL,2018-01-03 3:47:11,2018-01-03 3:47:16,2018-01-03 3:48:21,00:01:10,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550004,default,1-405-555-4522,SIP/US-CA-14055554522-195182,MGCP/2348255550004,DIAL,2018-01-03 3:48:31,2018-01-03 3:48:36,2018-01-03 3:49:40,00:01:09,00:01:04,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550006,default,1-405-555-4522,SIP/US-CA-14055554522-197950,MGCP/2348255550006,DIAL,2018-01-03 3:49:44,2018-01-03 3:49:50,2018-01-03 3:50:53,00:01:09,00:01:03,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255551234,default,1-405-555-4522,SIP/US-CA-14055554522-141880,MGCP/2348255551234,DIAL,2018-01-03 3:50:59,2018-01-03 3:51:03,2018-01-03 3:52:09,00:01:10,00:01:06,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550005,default,1-405-555-4522,SIP/US-CA-14055554522-190624,MGCP/2348255550005,DIAL,2018-01-03 3:52:15,2018-01-03 3:52:20,2018-01-03 3:53:25,00:01:10,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550006,default,1-405-555-4522,SIP/US-CA-14055554522-166485,MGCP/2348255550006,DIAL,2018-01-03 3:53:30,2018-01-03 3:53:36,2018-01-03 3:54:38,00:01:08,00:01:02,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348275550001,default,1-405-555-4522,SIP/US-CA-14055554522-190228,MGCP/2348275550001,DIAL,2018-01-03 3:54:43,2018-01-03 3:54:49,2018-01-03 3:55:54,00:01:11,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348275550001,default,1-405-555-4522,SIP/US-CA-14055554522-194703,MGCP/2348275550001,DIAL,2018-01-03 3:55:59,2018-01-03 3:56:05,2018-01-03 3:57:12,00:01:13,00:01:07,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550002,default,1-405-555-4522,SIP/US-CA-14055554522-152713,MGCP/2348255550002,DIAL,2018-01-03 3:57:19,2018-01-03 3:57:24,2018-01-03 3:58:29,00:01:10,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550005,default,1-405-555-4522,SIP/US-CA-14055554522-128953,MGCP/2348255550005,DIAL,2018-01-03 3:58:35,2018-01-03 3:58:41,2018-01-03 3:59:46,00:01:11,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2341555500009,default,1-405-555-4522,SIP/US-CA-14055554522-162708,MGCP/2341555500009,DIAL,2018-01-03 3:59:53,2018-01-03 3:59:59,2018-01-03 4:01:04,00:01:11,00:01:05,ANSWERED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550005,default,1-405-555-4522,SIP/US-CA-14055554522-113023,MGCP/2348255550005,DIAL,2018-01-03 4:01:10,0,2018-01-03 4:01:30,00:00:20,0,FAILED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2341555500005,default,1-405-555-4522,SIP/US-CA-14055554522-135936,MGCP/2341555500005,DIAL,2018-01-03 4:01:35,0,2018-01-03 4:01:56,00:00:21,0,FAILED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550009,default,1-405-555-4522,SIP/US-CA-14055554522-174808,MGCP/2348255550009,DIAL,2018-01-03 4:02:01,0,2018-01-03 4:02:12,00:00:11,0,FAILED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2341555500007,default,1-405-555-4522,SIP/US-CA-14055554522-195852,MGCP/2341555500007,DIAL,2018-01-03 4:02:19,0,2018-01-03 4:02:26,00:00:07,0,FAILED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255550004,default,1-405-555-4522,SIP/US-CA-14055554522-101410,MGCP/2348255550004,DIAL,2018-01-03 4:02:33,0,2018-01-03 4:02:42,00:00:09,0,FAILED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501826,14055554522,2348255551234,default,1-405-555-4522,SIP/US-CA-14055554522-127687,MGCP/2348255551234,DIAL,2018-01-03 4:02:49,0,2018-01-03 4:03:00,00:00:11,0,FAILED,SIP/US-CA-14055554522,MGCP-US-EAST-003,
2501537,14055552701,16469001526,default,1-405-555-2701,SIP/US-CA-14055552701-125328,MGCP/16469001526,DIAL,2018-01-03 7:44:00,2018-01-03 7:44:12,2018-01-03 8:22:49,00:38:49,00:38:37,ANSWERED,SIP/US-CA-14055552701,MGCP-US-EAST-003,
2501537,14055552701,18579001526,default,1-405-555-2701,SIP/US-CA-14055552701-138606,MGCP/18579001526,DIAL,2018-01-03 11:21:11,2018-01-03 11:21:24,2018-01-03 11:43:33,00:22:22,00:22:09,ANSWERED,SIP/US-CA-14055552701,MGCP-US-EAST-003,
2501537,14055552701,3705215554321,default,1-405-555-2701,SIP/US-CA-14055552701-131793,MGCP/3705215554321,DIAL,2018-01-03 19:44:11,2018-01-03 19:44:25,2018-01-03 20:34:56,00:50:45,00:50:31,ANSWERED,SIP/US-CA-14055552701,MGCP-US-EAST-003,
2501115,14055559901,552105554567,default,1-405-555-9901,SIP/US-CA-14055559901-107386,MGCP/552105554567,DIAL,2018-01-03 9:41:00,0,2018-01-03 9:41:35,00:00:35,0,NO ANSWER,SIP/US-CA-14055559901,MGCP-US-WEST-001,
2501115,14055559901,552105554567,default,1-405-555-9901,SIP/US-CA-14055559901-125930,MGCP/552105554567,DIAL,2018-01-03 9:42:05,0,2018-01-03 9:42:48,00:00:43,0,NO ANSWER,SIP/US-CA-14055559901,MGCP-US-WEST-001,
2501115,14055559901,552105554569,default,1-405-555-9901,SIP/US-CA-14055559901-125824,MGCP/552105554569,DIAL,2018-01-03 9:43:06,2018-01-03 9:43:21,2018-01-03 9:45:20,00:02:14,00:01:59,ANSWERED,SIP/US-CA-14055559901,MGCP-US-WEST-001,
2501115,14055559901,552105554567,default,1-405-555-9901,SIP/US-CA-14055559901-134890,MGCP/552105554567,DIAL,2018-01-03 18:22:02,2018-01-03 18:22:19,2018-01-03 19:49:33,01:27:31,01:27:14,ANSWERED,SIP/US-CA-14055559901,MGCP-US-WEST-001,
2502120,13105556001,819055550002,default,1-310-555-6001,SIP/US-CA-13105556001-184698,MGCP/819055550002,DIAL,2018-01-03 7:10:02,2018-01-03 7:10:15,2018-01-03 23:49:33,16:39:31,16:39:18,ANSWERED,SIP/US-CA-13105556001,MGCP-US-WEST-001,
2502120,13105556001,819055552001,default,1-310-555-6001,SIP/US-CA-13105556001-120472,MGCP/819055552001,DIAL,2018-01-03 12:31:02,2018-01-03 12:31:14,2018-01-03 12:55:14,00:24:12,00:24:00,ANSWERED,SIP/US-CA-13105556001,MGCP-US-WEST-001,
2502120,13105556001,819055552001,default,1-310-555-6001,SIP/US-CA-13105556001-164920,MGCP/819055552001,DIAL,2018-01-03 14:55:02,2018-01-03 14:55:20,2018-01-03 15:21:23,00:26:21,00:26:03,ANSWERED,SIP/US-CA-13105556001,MGCP-US-WEST-001,
2502120,13105556001,819055552003,default,1-310-555-6001,SIP/US-CA-13105556001-168186,MGCP/819055552003,DIAL,2018-01-03 18:12:29,2018-01-03 18:12:44,2018-01-03 18:28:12,00:15:43,00:15:28,ANSWERED,SIP/US-CA-13105556001,MGCP-US-WEST-001,
2501900,13105559110,10000000911,default,1-310-555-9110,SIP/US-CA-13105559110-167906,MGCP/10000000911,DIAL,2018-01-03 14:18:20,2018-01-03 14:18:26,2018-01-03 14:44:01,00:25:41,00:25:35,ANSWERED,SIP/US-CA-13105559110,MGCP-US-WEST-001,
2502139,19165550601,819055559991,default,1-916-555-0601,SIP/US-CA-19165550601-120872,MGCP/819055559991,DIAL,2018-01-03 9:20:04,2018-01-03 9:20:13,2018-01-03 9:59:13,00:39:09,00:39:00,ANSWERED,SIP/US-CA-19165550601,MGCP-US-WEST-001,
2502139,19165550601,819055550009,default,1-916-555-0601,SIP/US-CA-19165550601-174301,MGCP/819055550009,DIAL,2018-01-03 9:20:04,0,2018-01-03 9:20:45,00:00:41,0,NO ANSWER,SIP/US-CA-19165550601,MGCP-US-WEST-001,
2502139,19165550601,819055559991,default,1-916-555-0601,SIP/US-CA-19165550601-180760,MGCP/819055559991,DIAL,2018-01-03 9:21:20,0,2018-01-03 9:22:09,00:00:49,0,NO ANSWER,SIP/US-CA-19165550601,MGCP-US-WEST-001,
2501549,17025557901,8860355552001,default,1-702-555-7901,SIP/US-CA-17025557901-105804,MGCP/8860355552001,DIAL,2018-01-03 10:13:20,0,2018-01-03 10:13:34,00:00:14,0,FAILED,SIP/US-CA-17025557901,MGCP-US-EAST-003,
2501549,17025557901,8860355552001,default,1-702-555-7901,SIP/US-CA-17025557901-100396,MGCP/8860355552001,DIAL,2018-01-03 10:13:42,0,2018-01-03 10:13:53,00:00:11,0,FAILED,SIP/US-CA-17025557901,MGCP-US-EAST-003,
2501549,17025557901,8860355553020,default,1-702-555-7901,SIP/US-CA-17025557901-187879,MGCP/8860355553020,DIAL,2018-01-03 10:14:01,0,2018-01-03 10:14:14,00:00:13,0,FAILED,SIP/US-CA-17025557901,MGCP-US-EAST-003,
2501549,17025557901,8860355559901,default,1-702-555-7901,SIP/US-CA-17025557901-177738,MGCP/8860355559901,DIAL,2018-01-03 10:14:42,0,2018-01-03 10:14:52,00:00:10,0,FAILED,SIP/US-CA-17025557901,MGCP-US-EAST-003,
2501549,17025557901,18005550006,default,1-702-555-7901,SIP/US-CA-17025557901-161014,SIP/18005550006,DIAL,2018-01-03 10:15:36,2018-01-03 10:15:50,2018-01-03 10:28:01,00:12:25,00:12:11,ANSWERED,SIP/US-CA-17025557901,SIP/INTERNAL-HELPDESK,
